,,,,,,,,,,,
,,,,,,,,,,,
Customers Table,,,,,,,,,,,Managed by : Ajith Sinha
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Customer ID,Policy Holder Name,Gender,Age at Entry,Current Age,Occupation,Smoker Status,Medical Exam Required,Nationality,State,,
CUST-455423,Gokul Borra,Male,50,73,"Engineer, land",No,Yes,India,Delhi,,
CUST-970361,Gatik Banik,Male,42,56,"Engineer, site",No,Yes,India,Delhi,,
CUST-669562,Inaaya  Kanda,Male,48,63,"Designer, ceramics/pottery",No,Yes,India,Delhi,,
CUST-949919,Rohan Deshpande,Male,46,71,"Psychologist, educational",No,Yes,India,Delhi,,
CUST-901354,Jayant Sekhon,Male,24,31,Product designer,No,Yes,India,Delhi,,
CUST-578791,Ayesha Dugar,Male,48,53,Drilling engineer,No,Yes,India,Delhi,,
CUST-768505,Aradhya Dugar,Male,36,38,Mudlogger,No,Yes,India,Delhi,,
CUST-904374,Purab Bassi,Male,42,53,"Engineer, electrical",No,Yes,India,Delhi,,
CUST-476432,Aradhya Rajagopalan,Male,33,41,Lexicographer,No,Yes,India,Delhi,,
CUST-171476,Divyansh Dutt,Male,18,42,"Engineer, drilling",No,Yes,India,Delhi,,
CUST-151794,Eshani Grewal,Male,50,72,"Designer, exhibition/display",No,Yes,India,Delhi,,
CUST-207263,Adira Mand,Male,56,57,Oceanographer,No,Yes,India,Delhi,,
CUST-697108,Vardaniya Kulkarni,Male,54,60,Brewing technologist,No,Yes,India,Delhi,,
CUST-949625,Vritika Bobal,Male,42,56,Editorial assistant,No,Yes,India,Delhi,,
CUST-554872,Mannat Virk,Male,58,69,"Administrator, Civil Service",No,Yes,India,Delhi,,
CUST-100128,Anika Ranganathan,Male,54,62,Customer service manager,No,Yes,India,Delhi,,
CUST-504196,Shaan Mani,Male,40,65,"Production designer, theatre/television/film",No,Yes,India,Delhi,,
CUST-822675,Armaan Saha,Male,55,70,Statistician,No,Yes,India,Delhi,,
CUST-917941,Elakshi Gera,Male,22,40,Health promotion specialist,No,Yes,India,Delhi,,
CUST-421235,Prisha Gola,Male,47,65,Mining engineer,No,Yes,India,Delhi,,
CUST-926448,Heer Chandra,Male,38,53,Quantity surveyor,No,Yes,India,Delhi,,
CUST-603365,Kartik Sarkar,Male,56,64,"Engineer, energy",No,Yes,India,Delhi,,
CUST-726096,Vaibhav Varkey,Male,59,62,Building control surveyor,No,Yes,India,Delhi,,
CUST-722971,Arhaan Baria,Male,49,66,"Engineer, building services",No,Yes,India,Delhi,,
CUST-213536,Tarini Kuruvilla,Male,52,75,Waste management officer,No,Yes,India,Delhi,,
CUST-862713,Anaya Bose,Male,32,38,Chief Strategy Officer,No,Yes,India,Delhi,,
CUST-635417,Manikya Bahri,Male,55,64,Fisheries officer,No,Yes,India,Delhi,,
CUST-406991,Indranil Taneja,Male,39,47,Learning disability nurse,No,Yes,India,Delhi,,
CUST-337096,Eva Wali,Male,59,74,Professor Emeritus,No,Yes,India,Delhi,,
CUST-944474,Parinaaz Kuruvilla,Male,47,71,"Clinical scientist, histocompatibility and immunogenetics",No,Yes,India,Delhi,,
CUST-749529,Aayush Lata,Male,49,65,"Engineer, maintenance",No,Yes,India,Delhi,,
CUST-783374,Shaan Kaur,Male,21,28,"Engineer, materials",No,Yes,India,Delhi,,
CUST-229952,Zara Mani,Male,24,35,Chartered loss adjuster,No,Yes,India,Delhi,,
CUST-975927,Hunar Tara,Male,23,46,Risk manager,No,Yes,India,Delhi,,
CUST-130752,Samar Sehgal,Male,59,83,Equality and diversity officer,No,Yes,India,Delhi,,
CUST-906194,Pihu Kaul,Male,28,40,"Copywriter, advertising",No,Yes,India,Delhi,,
CUST-398616,Renee Zacharia,Male,30,48,Insurance account manager,No,Yes,India,Delhi,,
CUST-993281,Parinaaz Khosla,Male,33,47,"Surveyor, minerals",No,Yes,India,Delhi,,
CUST-942777,Yuvaan Gala,Male,37,54,"Therapist, sports",No,Yes,India,Delhi,,
CUST-349286,Rohan Solanki,Male,23,25,Bookseller,No,Yes,India,Delhi,,
CUST-187996,Dhanuk Bhatt,Male,39,50,Corporate treasurer,No,Yes,India,Delhi,,
CUST-594301,Adira Ravi,Male,38,45,IT technical support officer,No,Yes,India,Delhi,,
CUST-816432,Samar Vala,Male,29,31,TEFL teacher,No,Yes,India,Delhi,,
CUST-943214,Jhanvi Sachar,Male,44,68,Dispensing optician,No,Yes,India,Delhi,,
CUST-729656,Reyansh Acharya,Male,38,42,Electronics engineer,No,Yes,India,Delhi,,
CUST-643327,Madhav Zachariah,Male,31,54,"Engineer, electrical",No,Yes,India,Delhi,,
CUST-937956,Hiran Badal,Male,32,44,Farm manager,No,Yes,India,Delhi,,
CUST-899566,Himmat Rastogi,Male,42,49,Medical physicist,No,Yes,India,Delhi,,
CUST-166073,Gatik Sawhney,Male,56,74,Jewellery designer,No,Yes,India,Delhi,,
CUST-416784,Kismat Chaudry,Male,32,54,Politician's assistant,No,Yes,India,Delhi,,
CUST-201525,Zaina Raval,Male,28,29,"Lighting technician, broadcasting/film/video",No,Yes,India,Delhi,,
CUST-283469,Drishya Hayer,Male,47,68,Public librarian,No,Yes,India,Delhi,,
CUST-283644,Ritvik Mammen,Male,19,36,Clinical research associate,No,Yes,India,Delhi,,
CUST-495177,Saksham Gulati,Male,58,69,"Engineer, building services",No,Yes,India,Delhi,,
CUST-500020,Shayak Guha,Male,42,45,"Pharmacist, community",No,Yes,India,Delhi,,
CUST-385365,Pari Deol,Male,40,65,Technical brewer,No,Yes,India,Delhi,,
CUST-395203,Amira Biswas,Male,41,55,"Nurse, mental health",No,Yes,India,Delhi,,
CUST-388156,Jayesh Rana,Male,21,25,Ranger/warden,No,Yes,India,Delhi,,
CUST-364028,Vihaan Kant,Male,51,57,Press sub,No,Yes,India,Delhi,,
CUST-269810,Kabir Raju,Male,55,65,Charity officer,No,Yes,India,Delhi,,
CUST-728420,Yashvi Sheth,Male,58,59,"Surveyor, commercial/residential",No,Yes,India,Delhi,,
